%**********************************************************
% gridpoint_coord_5x5_NEW.txt:
% a list with all coordinates for the grid points in 5x5 [°] resolution.
% value range for latitude: [87.5,-87.5]
% value range for longitude: [2.5,357.5]
%
% columns:
% 1    ..... name of the grid point
% 2    ..... latitude [°]
% 3    ..... longitude [°]
% 4    ..... ellipsoidal height [m]
% 5    ..... orthometric height [m]
%**********************************************************
%
P0000140   82.50  337.50   47.96   19.42
P0000141   82.50  342.50   28.27    0.00
P0000142   82.50  347.50   29.77    0.00
P0000143   82.50  352.50   29.74   -0.00
P0000144   82.50  357.50   29.70   -0.00
P0000145   77.50    2.50   40.64   -0.00
P0000146   77.50    7.50   40.31   -0.00
P0000147   77.50   12.50   37.61   -0.00
P0000148   77.50   17.50  257.17  225.40
P0000149   77.50   22.50  266.42  237.61
P0000150   77.50   27.50   23.93   -0.00
P0000151   77.50   32.50   19.41   -0.00
P0000152   77.50   37.50   16.15   -0.00
P0000153   77.50   42.50   12.77   -0.00
P0000154   77.50   47.50    9.87   -0.00
P0000155   77.50   52.50    7.13   -0.00
P0000156   77.50   57.50    4.99   -0.00
P0000157   77.50   62.50    2.90   -0.00
P0000158   77.50   67.50    1.21   -0.00
P0000159   77.50   72.50   -1.37   -0.00
P0000160   77.50   77.50   -1.97   -0.00
P0000161   77.50   82.50   -3.26   -0.00
P0000162   77.50   87.50   -4.14   -0.00
P0000163   77.50   92.50   -4.40   -0.00
P0000164   77.50   97.50   -5.28   -0.00
P0000165   77.50  102.50   30.74   34.32
P0000166   77.50  107.50   -1.83   -0.00
P0000167   77.50  112.50   -1.40   -0.00
P0000168   77.50  117.50   -1.36    0.00
P0000169   77.50  122.50   -0.61   -0.00
P0000170   77.50  127.50   -0.39    0.00
P0000171   77.50  132.50    2.18    0.00
P0000172   77.50  137.50    2.06    0.00
P0000173   77.50  142.50    2.05    0.00
P0000174   77.50  147.50    2.59    0.00
P0000175   77.50  152.50    3.04    0.00
P0000176   77.50  157.50    3.58    0.00
P0000177   77.50  162.50    3.77   -0.00
P0000178   77.50  167.50    4.05   -0.00
P0000179   77.50  172.50    3.28    0.00
P0000180   77.50  177.50    3.07   -0.00
P0000181   77.50  182.50    2.75   -0.00
P0000182   77.50  187.50    1.99   -0.00
P0000183   77.50  192.50    3.61   -0.00
P0000184   77.50  197.50    2.53   -0.00
P0000185   77.50  202.50    0.12   -0.00
P0000186   77.50  207.50   -1.88   -0.00
P0000187   77.50  212.50   -2.63    0.00
P0000188   77.50  217.50   -4.59    0.00
P0000189   77.50  222.50   -5.71    0.00
P0000190   77.50  227.50   -5.39    0.00
P0000191   77.50  232.50   -2.97    0.00
P0000192   77.50  237.50   -3.23    0.00
P0000193   77.50  242.50    4.72    8.25
P0000194   77.50  247.50   24.66   29.21
P0000195   77.50  252.50   -5.16    0.00
P0000196   77.50  257.50   -1.41    3.10
P0000197   77.50  262.50   -2.47    0.33
P0000198   77.50  267.50   -1.11   -0.00
P0000199   77.50  272.50  123.56  121.23
P0000200   77.50  277.50  379.47  371.46
P0000201   77.50  282.50   83.74   73.70
P0000202   77.50  287.50   52.00   40.52
P0000203   77.50  292.50  627.74  608.95
P0000204   77.50  297.50 1741.93 1717.81
P0000205   77.50  302.50 2156.98 2129.74
P0000206   77.50  307.50 2341.86 2311.59
P0000207   77.50  312.50 2545.39 2513.64
P0000208   77.50  317.50 2601.67 2567.18
P0000209   77.50  322.50 2357.45 2320.13
P0000210   77.50  327.50 2052.95 2012.29
P0000211   77.50  332.50 1634.95 1595.18
P0000212   77.50  337.50  252.23  220.74
P0000213   77.50  342.50   32.95    0.62
P0000214   77.50  347.50   36.42   -0.00
P0000215   77.50  352.50   40.15   -0.00
P0000216   77.50  357.50   40.12   -0.00
P0000217   72.50    2.50   48.93   -0.00
P0000218   72.50    7.50   45.25   -0.00
P0000219   72.50   12.50   42.00   -0.00
P0000220   72.50   17.50   35.20   -0.00
P0000221   72.50   22.50   27.10   -0.00
P0000222   72.50   27.50   21.18   -0.00
P0000223   72.50   32.50   17.08    0.00
P0000224   72.50   37.50   13.44   -0.00
P0000225   72.50   42.50    8.86   -0.00
P0000226   72.50   47.50    5.66   -0.00
P0000227   72.50   52.50   62.42   59.80
P0000228   72.50   57.50   -0.98   -0.00
P0000229   72.50   62.50   -3.70   -0.00
P0000230   72.50   67.50   -5.41    0.00
P0000231   72.50   72.50   11.39   18.36
P0000232   72.50   77.50   -0.65    7.40
P0000233   72.50   82.50  120.62  130.22
P0000234   72.50   87.50   70.08   81.53
P0000235   72.50   92.50   52.47   64.01
P0000236   72.50   97.50   47.75   59.84
P0000237   72.50  102.50   35.84   48.57
P0000238   72.50  107.50   98.46  108.64
P0000239   72.50  112.50   42.29   51.55
P0000240   72.50  117.50   38.80   46.96
P0000241   72.50  122.50   71.43   77.84
P0000242   72.50  127.50   30.51   36.37
P0000243   72.50  132.50   -3.65    0.00
P0000244   72.50  137.50   -2.05    0.00
P0000245   72.50  142.50   34.24   34.78
P0000246   72.50  147.50    9.19    8.56
P0000247   72.50  152.50    1.68   -0.00
P0000248   72.50  157.50    2.28   -0.00
P0000249   72.50  162.50    2.22   -0.00
P0000250   72.50  167.50    2.50   -0.00
P0000251   72.50  172.50    2.11   -0.00
P0000252   72.50  177.50    2.51   -0.00
P0000253   72.50  182.50    1.85   -0.00
P0000254   72.50  187.50    0.62   -0.00
P0000255   72.50  192.50    0.56   -0.00
P0000256   72.50  197.50    0.48   -0.00
P0000257   72.50  202.50   -1.53   -0.00
P0000258   72.50  207.50   -5.18   -0.00
P0000259   72.50  212.50   -7.39   -0.00
P0000260   72.50  217.50   -7.30   -0.00
P0000261   72.50  222.50   -7.57   -0.00
P0000262   72.50  227.50   -6.77   -0.00
P0000263   72.50  232.50   -8.98   -0.00
P0000264   72.50  237.50  342.71  351.41
P0000265   72.50  242.50  142.07  154.62
P0000266   72.50  247.50  149.41  167.01
P0000267   72.50  252.50  109.65  129.79
P0000268   72.50  257.50  -13.71    6.42
P0000269   72.50  262.50   38.40   54.07
P0000270   72.50  267.50   41.66   55.13
P0000271   72.50  272.50  236.87  248.23
P0000272   72.50  277.50  552.87  559.68
P0000273   72.50  282.50  526.12  525.28
P0000274   72.50  287.50    9.78    0.00
P0000275   72.50  292.50   14.17   -0.00
P0000276   72.50  297.50   21.85   -0.00
P0000277   72.50  302.50   23.88   -0.00
P0000278   72.50  307.50 1568.82 1538.07
P0000279   72.50  312.50 2584.66 2547.33
P0000280   72.50  317.50 2979.78 2939.34
P0000281   72.50  322.50 3226.42 3180.84
P0000282   72.50  327.50 2850.41 2800.77
P0000283   72.50  332.50 1079.11 1028.44
P0000284   72.50  337.50  149.68   97.70
P0000285   72.50  342.50   53.71   -0.00
P0000286   72.50  347.50   52.32   -0.00
P0000287   72.50  352.50   51.99   -0.00
P0000288   72.50  357.50   50.85   -0.00
P0000289   67.50    2.50   48.14    0.00
P0000290   67.50    7.50   42.63    0.00
P0000291   67.50   12.50   39.24    0.05
P0000292   67.50   17.50  990.69  959.07
P0000293   67.50   22.50  314.66  287.37
P0000294   67.50   27.50  268.82  248.06
P0000295   67.50   32.50  222.46  204.37
P0000296   67.50   37.50  248.65  232.51
P0000297   67.50   42.50   11.71    0.00
P0000298   67.50   47.50   13.81    5.61
P0000299   67.50   52.50   64.76   61.95
P0000300   67.50   57.50   90.13   91.28
P0000301   67.50   62.50  131.03  136.51
P0000302   67.50   67.50  136.02  142.69
P0000303   67.50   72.50    1.07   14.35
P0000304   67.50   77.50    8.91   22.94
P0000305   67.50   82.50   44.58   59.97
P0000306   67.50   87.50  113.20  129.49
P0000307   67.50   92.50  620.70  638.14
P0000308   67.50   97.50  746.04  763.19
P0000309   67.50  102.50  290.56  307.29
P0000310   67.50  107.50  340.56  357.08
P0000311   67.50  112.50  344.16  358.33
P0000312   67.50  117.50  250.42  261.72
P0000313   67.50  122.50  109.56  121.79
P0000314   67.50  127.50 1077.02 1084.25
P0000315   67.50  132.50  353.21  357.17
P0000316   67.50  137.50  696.20  696.06
P0000317   67.50  142.50  360.49  358.01
P0000318   67.50  147.50  277.50  273.82
P0000319   67.50  152.50   99.64   94.00
P0000320   67.50  157.50  232.67  226.33
P0000321   67.50  162.50  200.35  193.03
P0000322   67.50  167.50  643.21  634.52
P0000323   67.50  172.50  492.91  486.17
P0000324   67.50  177.50  852.22  845.47
P0000325   67.50  182.50  146.39  142.37
P0000326   67.50  187.50    2.05   -0.00
P0000327   67.50  192.50    1.85   -0.00
P0000328   67.50  197.50  219.66  215.64
P0000329   67.50  202.50  502.02  496.39
P0000330   67.50  207.50  922.99  914.92
P0000331   67.50  212.50  806.43  797.36
P0000332   67.50  217.50  489.20  481.73
P0000333   67.50  222.50  607.47  604.06
P0000334   67.50  227.50  181.42  183.05
P0000335   67.50  232.50  278.43  284.22
P0000336   67.50  237.50  405.14  415.51
P0000337   67.50  242.50  292.20  308.98
P0000338   67.50  247.50  156.00  180.21
P0000339   67.50  252.50   48.63   79.60
P0000340   67.50  257.50   11.62   45.97
P0000341   67.50  262.50    2.49   37.36
P0000342   67.50  267.50  231.52  262.73
P0000343   67.50  272.50   -2.82   27.79
P0000344   67.50  277.50  169.11  195.61
P0000345   67.50  282.50  -19.43    4.06
P0000346   67.50  287.50   15.22   29.38
P0000347   67.50  292.50  750.30  749.61
P0000348   67.50  297.50   12.37   -0.00
P0000349   67.50  302.50   24.27   -0.00
P0000350   67.50  307.50  304.86  276.78
P0000351   67.50  312.50 1843.59 1804.94
P0000352   67.50  317.50 2681.23 2634.58
P0000353   67.50  322.50 2697.54 2643.97
P0000354   67.50  327.50  140.36   83.09
P0000355   67.50  332.50   60.14   -0.00
P0000356   67.50  337.50   61.82   -0.02
P0000357   67.50  342.50   63.16   -0.00
P0000358   67.50  347.50   59.71   -0.00
P0000359   67.50  352.50   54.98   -0.00
P0000360   67.50  357.50   51.09    0.00
P0000361   62.50    2.50   47.56    0.00
P0000362   62.50    7.50  514.84  469.59
P0000363   62.50   12.50  901.33  864.74
P0000364   62.50   17.50  136.81  110.01
P0000365   62.50   22.50  119.95  101.14
P0000366   62.50   27.50  130.41  111.61
P0000367   62.50   32.50  193.56  177.25
P0000368   62.50   37.50   97.32   83.31
P0000369   62.50   42.50   80.00   68.33
P0000370   62.50   47.50  161.60  152.33
P0000371   62.50   52.50  117.70  115.45
P0000372   62.50   57.50  167.11  169.00
P0000373   62.50   62.50  116.26  124.74
P0000374   62.50   67.50   87.91  102.04
P0000375   62.50   72.50   71.18   91.00
P0000376   62.50   77.50   68.06   91.00
P0000377   62.50   82.50  112.52  137.55
P0000378   62.50   87.50  105.79  131.49
P0000379   62.50   92.50  442.03  469.09
P0000380   62.50   97.50  429.21  458.51
P0000381   62.50  102.50  452.99  482.33
P0000382   62.50  107.50  299.05  326.88
P0000383   62.50  112.50  361.33  384.39
P0000384   62.50  117.50  163.09  182.72
P0000385   62.50  122.50  268.77  282.61
P0000386   62.50  127.50  204.08  213.80
P0000387   62.50  132.50  266.73  270.00
P0000388   62.50  137.50  835.78  831.05
P0000389   62.50  142.50 1318.76 1308.32
P0000390   62.50  147.50  944.32  931.95
P0000391   62.50  152.50  529.80  516.78
P0000392   62.50  157.50 1059.78 1046.08
P0000393   62.50  162.50  293.81  281.34
P0000394   62.50  167.50  226.26  215.65
P0000395   62.50  172.50  512.73  503.80
P0000396   62.50  177.50  155.72  150.52
P0000397   62.50  182.50    4.97   -0.00
P0000398   62.50  187.50    6.29   -0.00
P0000399   62.50  192.50    7.73   -0.00
P0000400   62.50  197.50  203.49  192.65
P0000401   62.50  202.50  315.54  303.53
P0000402   62.50  207.50  986.25  971.73
P0000403   62.50  212.50 1148.79 1131.12
P0000404   62.50  217.50 1141.07 1125.29
P0000405   62.50  222.50  976.29  966.24
P0000406   62.50  227.50 1156.21 1151.59
P0000407   62.50  232.50 1699.63 1699.50
P0000408   62.50  237.50  317.54  328.68
P0000409   62.50  242.50  247.05  267.25
P0000410   62.50  247.50  276.72  304.45
P0000411   62.50  252.50  363.83  396.75
P0000412   62.50  257.50  245.49  285.36
P0000413   62.50  262.50  118.48  163.21
P0000414   62.50  267.50  -23.82   21.57
P0000415   62.50  272.50  -42.50   -0.00
P0000416   62.50  277.50  -26.06   12.23
P0000417   62.50  282.50   60.53   92.07
P0000418   62.50  287.50  -23.02    0.72
P0000419   62.50  292.50  270.10  281.15
P0000420   62.50  297.50    4.81   -0.00
P0000421   62.50  302.50   15.16   -0.00
P0000422   62.50  307.50   26.24   -0.00
P0000423   62.50  312.50 1909.56 1867.69
P0000424   62.50  317.50  394.83  347.25
P0000425   62.50  322.50   51.88   -0.00
P0000426   62.50  327.50   57.43   -0.00
P0000427   62.50  332.50   64.29   -0.00
P0000428   62.50  337.50   65.28   -0.00
P0000429   62.50  342.50   62.86   -0.00
P0000430   62.50  347.50   61.64    0.00
P0000431   62.50  352.50   58.47    0.22
P0000432   62.50  357.50   50.95    0.00
P0000433   57.50    2.50   45.64    0.00
P0000434   57.50    7.50   60.20   18.37
P0000435   57.50   12.50  149.85  113.72
P0000436   57.50   17.50   27.05    0.00
P0000437   57.50   22.50   37.19   16.17
P0000438   57.50   27.50  108.98   89.66
P0000439   57.50   32.50  170.64  154.27
P0000440   57.50   37.50  141.86  127.60
P0000441   57.50   42.50  125.50  114.97
P0000442   57.50   47.50  104.27   96.58
P0000443   57.50   52.50  168.70  167.33
P0000444   57.50   57.50  205.24  209.09
P0000445   57.50   62.50   97.12  109.28
P0000446   57.50   67.50   24.80   45.13
P0000447   57.50   72.50   42.74   69.39
P0000448   57.50   77.50   64.23   95.37
P0000449   57.50   82.50   54.44   88.76
P0000450   57.50   87.50  104.88  140.65
P0000451   57.50   92.50  156.09  193.21
P0000452   57.50   97.50  239.69  278.69
P0000453   57.50  102.50  347.68  382.92
P0000454   57.50  107.50  403.63  436.17
P0000455   57.50  112.50  808.54  831.30
P0000456   57.50  117.50 1226.95 1241.63
P0000457   57.50  122.50  843.70  850.52
P0000458   57.50  127.50 1063.30 1059.37
P0000459   57.50  132.50  734.28  723.57
P0000460   57.50  137.50  773.75  759.49
P0000461   57.50  142.50   14.16   -0.00
P0000462   57.50  147.50   16.73   -0.00
P0000463   57.50  152.50   16.97   -0.00
P0000464   57.50  157.50  169.35  149.59
P0000465   57.50  162.50  114.15   97.62
P0000466   57.50  167.50    8.63   -0.00
P0000467   57.50  172.50    2.86   -0.00
P0000468   57.50  177.50    1.35   -0.00
P0000469   57.50  182.50    2.67   -0.00
P0000470   57.50  187.50   10.31   -0.00
P0000471   57.50  192.50   12.62   -0.00
P0000472   57.50  197.50   15.42   -0.00
P0000473   57.50  202.50  133.46  117.73
P0000474   57.50  207.50   70.31   56.58
P0000475   57.50  212.50    8.79    0.00
P0000476   57.50  217.50    6.44    0.00
P0000477   57.50  222.50    2.49   -0.00
P0000478   57.50  227.50 1391.86 1389.41
P0000479   57.50  232.50 1566.72 1569.78
P0000480   57.50  237.50  844.02  855.50
P0000481   57.50  242.50  430.14  448.67
P0000482   57.50  247.50  578.60  603.17
P0000483   57.50  252.50  486.45  516.59
P0000484   57.50  257.50  326.95  361.09
P0000485   57.50  262.50  240.30  281.12
P0000486   57.50  267.50  -41.57    5.05
P0000487   57.50  272.50  -48.00    0.00
P0000488   57.50  277.50  -46.17    0.00
P0000489   57.50  282.50  -31.39    8.19
P0000490   57.50  287.50  269.96  300.49
P0000491   57.50  292.50  113.25  133.71
P0000492   57.50  297.50  192.67  200.01
P0000493   57.50  302.50    7.78   -0.00
P0000494   57.50  307.50   20.85    0.00
P0000495   57.50  312.50   34.08    0.00
P0000496   57.50  317.50   45.15    0.00
P0000497   57.50  322.50   54.16    0.00
P0000498   57.50  327.50   62.57    0.00
P0000499   57.50  332.50   62.49    0.00
P0000500   57.50  337.50   61.63    0.00
P0000501   57.50  342.50   60.66    0.00
P0000502   57.50  347.50   56.74    0.00
P0000503   57.50  352.50   57.94    0.16
P0000504   57.50  357.50  107.38   56.42
P0000505   52.50    2.50   44.23    0.00
P0000506   52.50    7.50   78.11   35.28
P0000507   52.50   12.50   93.99   52.71
P0000508   52.50   17.50  127.29   93.18
P0000509   52.50   22.50  173.02  143.43
P0000510   52.50   27.50  170.33  146.00
P0000511   52.50   32.50  190.75  171.50
P0000512   52.50   37.50  197.32  184.72
P0000513   52.50   42.50  159.90  152.35
P0000514   52.50   47.50  169.24  167.52
P0000515   52.50   52.50  144.16  148.66
P0000516   52.50   57.50  505.86  517.45
P0000517   52.50   62.50  189.03  208.79
P0000518   52.50   67.50  273.52  298.82
P0000519   52.50   72.50  159.64  190.71
P0000520   52.50   77.50   79.11  117.13
P0000521   52.50   82.50  159.60  200.18
P0000522   52.50   87.50  559.33  599.22
P0000523   52.50   92.50 1121.53 1161.80
P0000524   52.50   97.50 1478.93 1516.58
P0000525   52.50  102.50  677.29  714.76
P0000526   52.50  107.50  666.59  700.83
P0000527   52.50  112.50 1021.70 1044.99
P0000528   52.50  117.50  866.31  879.12
P0000529   52.50  122.50  755.61  756.60
P0000530   52.50  127.50  301.42  293.46
P0000531   52.50  132.50  838.62  822.25
P0000532   52.50  137.50  406.76  388.09
P0000533   52.50  142.50  134.74  116.21
P0000534   52.50  147.50   17.83   -0.00
P0000535   52.50  152.50   20.82    0.00
P0000536   52.50  157.50  494.29  469.56
P0000537   52.50  162.50    2.32    0.00
P0000538   52.50  167.50    5.06    0.00
P0000539   52.50  172.50    8.93    6.97
P0000540   52.50  177.50    3.34    0.00
P0000541   52.50  182.50    3.65    0.00
P0000542   52.50  187.50    7.31    0.00
P0000543   52.50  192.50    7.03    0.00
P0000544   52.50  197.50    7.29    0.00
P0000545   52.50  202.50   11.07    0.00
P0000546   52.50  207.50    9.45    0.00
P0000547   52.50  212.50    5.08    0.00
P0000548   52.50  217.50   -1.16    0.00
P0000549   52.50  222.50   -7.42    0.00
P0000550   52.50  227.50    3.14   14.17
P0000551   52.50  232.50  645.93  658.38
P0000552   52.50  237.50  942.06  955.10
P0000553   52.50  242.50 1979.22 1993.04
P0000554   52.50  247.50  733.40  753.56
P0000555   52.50  252.50  568.76  590.61
P0000556   52.50  257.50  467.86  493.37
P0000557   52.50  262.50  189.41  222.14
P0000558   52.50  267.50  300.44  337.27
P0000559   52.50  272.50  180.88  223.61
P0000560   52.50  277.50  -23.38   20.24
P0000561   52.50  282.50  150.22  191.12
P0000562   52.50  287.50  471.12  502.16
P0000563   52.50  292.50  596.95  618.60
P0000564   52.50  297.50  428.52  442.27
P0000565   52.50  302.50  334.84  333.30
P0000566   52.50  307.50   17.12    0.00
P0000567   52.50  312.50   29.59    0.00
P0000568   52.50  317.50   42.22    0.00
P0000569   52.50  322.50   52.75    0.00
P0000570   52.50  327.50   59.91    0.00
P0000571   52.50  332.50   61.82    0.00
P0000572   52.50  337.50   61.33    0.00
P0000573   52.50  342.50   59.32    0.00
P0000574   52.50  347.50   60.65    0.00
P0000575   52.50  352.50  177.70  120.83
P0000576   52.50  357.50  171.69  119.87
P0000577   47.50    2.50  211.92  164.92
P0000578   47.50    7.50  586.89  537.36
P0000579   47.50   12.50 1071.94 1024.64
P0000580   47.50   17.50  205.61  160.75
P0000581   47.50   22.50  220.18  179.64
P0000582   47.50   27.50  181.30  147.72
P0000583   47.50   32.50  117.87   92.99
P0000584   47.50   37.50  165.32  148.22
P0000585   47.50   42.50   95.49   89.14
P0000586   47.50   47.50   -5.92    2.19
P0000587   47.50   52.50  -14.49    2.15
P0000588   47.50   57.50  197.62  218.64
P0000589   47.50   62.50   70.29  100.02
P0000590   47.50   67.50  323.95  358.61
P0000591   47.50   72.50  696.54  737.29
P0000592   47.50   77.50  587.04  630.93
P0000593   47.50   82.50  976.24 1024.05
P0000594   47.50   87.50  793.66  842.48
P0000595   47.50   92.50  921.45  968.59
P0000596   47.50   97.50 2670.85 2715.96
P0000597   47.50  102.50 1509.16 1552.13
P0000598   47.50  107.50 1559.69 1595.17
P0000599   47.50  112.50 1068.70 1092.53
P0000600   47.50  117.50  675.88  686.08
P0000601   47.50  122.50  435.87  431.25
P0000602   47.50  127.50  343.92  328.76
P0000603   47.50  132.50  131.36  110.97
P0000604   47.50  137.50  771.48  744.63
P0000605   47.50  142.50  188.32  164.02
P0000606   47.50  147.50   20.96    0.00
P0000607   47.50  152.50   23.61    0.00
P0000608   47.50  157.50    9.83    0.00
P0000609   47.50  162.50    5.43    0.00
P0000610   47.50  167.50   -2.91    0.00
P0000611   47.50  172.50   -2.58    0.00
P0000612   47.50  177.50   -1.86    0.00
P0000613   47.50  182.50    0.12    0.00
P0000614   47.50  187.50    2.62    0.00
P0000615   47.50  192.50    4.01    0.00
P0000616   47.50  197.50    3.71    0.00
P0000617   47.50  202.50    0.84    0.00
P0000618   47.50  207.50   -3.37    0.00
P0000619   47.50  212.50   -8.50    0.00
P0000620   47.50  217.50  -14.53    0.00
P0000621   47.50  222.50  -19.82    0.00
P0000622   47.50  227.50  -21.82    0.00
P0000623   47.50  232.50  -22.44    0.00
P0000624   47.50  237.50   84.00  104.06
P0000625   47.50  242.50  725.99  742.83
P0000626   47.50  247.50 1458.11 1470.89
P0000627   47.50  252.50  797.50  812.46
P0000628   47.50  257.50  635.10  652.66
P0000629   47.50  262.50  291.87  317.34
P0000630   47.50  267.50  405.80  435.86
P0000631   47.50  272.50   27.90   63.14
P0000632   47.50  277.50  376.60  413.32
